" Product ID ","Product Name"," REGION","Units Sold"," Unit Price ","Total Sales","Profit Margin","Sale Date"
"52","betawidget ","south","twenty","12.5","250.0","0.10","01/03/2020"
"53","Gamma Widget"," EAST","1,000","$1,234.56","$1,234,560","8 perscent","3 Jan 2020"
"54","","west","5","€10,00","50,00€","ten percent","20200104"
"55","DeltaWidget","North","","15","","5.5%","Mar 5 2019"
"56"," epsilon","South","7","$0","0","0%","2019-12-31"
"57","Zeta","east ","twenty five","$25.00","625","0.25","2019/12/30"
"58","Eta"," West","3","12,50","37,50","8%","12-31-2019"
"59","Theta","NORTH","2","$5","$10","0.1","2019.12.29"
"60","Iota","south","8","$9.99","79.92","8 persent",""
"61","  AlphaWidget","North","10","$12.50","$125.00","10%","2020-01-03"
"62","betawidget ","south","twenty","12.5","250.0","0.10","01/03/2020"
"63","Gamma Widget"," EAST","1,000","$1,234.56","$1,234,560","8 perscent","3 Jan 2020"
"64","","west","5","€10,00","50,00€","ten percent","20200104"
"65","DeltaWidget","North","","15","","5.5%","Mar 5 2019"
"66"," epsilon","South","7","$0","0","0%","2019-12-31"
"67","Zeta","east ","twenty five","$25.00","625","0.25","2019/12/30"
"68","Eta"," West","3","12,50","37,50","8%","12-31-2019"
"69","Theta","NORTH","2","$5","$10","0.1","2019.12.29"
"70","Iota","south","8","$9.99","79.92","8 persent",""
"71","  AlphaWidget","North","10","$12.50","$125.00","10%","2020-01-03"
"72","betawidget ","south","twenty","12.5","250.0","0.10","01/03/2020"
"73","Gamma Widget"," EAST","1,000","$1,234.56","$1,234,560","8 perscent","3 Jan 2020"
"74","","west","5","€10,00","50,00€","ten percent","20200104"
"75","DeltaWidget","North","","15","","5.5%","Mar 5 2019"
"76"," epsilon","South","7","$0","0","0%","2019-12-31"
"77","Zeta","east ","twenty five","$25.00","625","0.25","2019/12/30"
"78","Eta"," West","3","12,50","37,50","8%","12-31-2019"
"79","Theta","NORTH","2","$5","$10","0.1","2019.12.29"
"80","Iota","south","8","$9.99","79.92","8 persent",""
"81","  AlphaWidget","North","10","$12.50","$125.00","10%","2020-01-03"
"82","betawidget ","south","twenty","12.5","250.0","0.10","01/03/2020"
"83","Gamma Widget"," EAST","1,000","$1,234.56","$1,234,560","8 perscent","3 Jan 2020"
"84","","west","5","€10,00","50,00€","ten percent","20200104"
"85","DeltaWidget","North","","15","","5.5%","Mar 5 2019"
"86"," epsilon","South","7","$0","0","0%","2019-12-31"
"87","Zeta","east ","twenty five","$25.00","625","0.25","2019/12/30"
"88","Eta"," West","3","12,50","37,50","8%","12-31-2019"
"89","Theta","NORTH","2","$5","$10","0.1","2019.12.29"
"90","Iota","south","8","$9.99","79.92","8 persent",""
"91","  AlphaWidget","North","10","$12.50","$125.00","10%","2020-01-03"
"92","betawidget ","south","twenty","12.5","250.0","0.10","01/03/2020"
"93","Gamma Widget"," EAST","1,000","$1,234.56","$1,234,560","8 perscent","3 Jan 2020"
"94","","west","5","€10,00","50,00€","ten percent","20200104"
"95","DeltaWidget","North","","15","","5.5%","Mar 5 2019"
"96"," epsilon","South","7","$0","0","0%","2019-12-31"
"97","Zeta","east ","twenty five","$25.00","625","0.25","2019/12/30"
"98","Eta"," West","3","12,50","37,50","8%","12-31-2019"
"99","Theta","NORTH","2","$5","$10","0.1","2019.12.29"
"100","Iota","south","8","$9.99","79.92","8 persent",""
